paper,repo,page,placement
nime2025_40,github.com/johnalettang/aquapella,1,body
nime2025_42,github.com/JohnMBowers/MisUsersManualZine,6,body
nime2025_48,github.com/mayacaren/ViVo.git,2,footnote
nime2025_57,github.com/DocSunset/sygaldry/,2,footnote
nime2025_58,github.com/algomusic/Max-Silence-Noise,1,footnote
nime2025_59,doi.org/10.5281/zenodo.15279103,last,appendix
nime2025_61,github.com/Nemus-Project/harpsichord-interface-firmware,5,body
nime2025_62,github.com/MetaBow/MetaBoard,last,references
nime2025_64,github.com/HybridInstrumentsLab/PanMan,2,body
nime2025_65,github.com/yannseznec/ys.granular,1,footnote
nime2025_67,sites.google.com/view/sonicolour-sc-1,2,footnote
nime2025_69,github.com/arililoia-cmu/elbs_nime,1,body
nime2025_72,github.com/francesco-di-maggio/embedded-comparo,last,footnote
nime2025_73,github.com/MINNE-WU/Gesture-Driven-Erhu,3,footnote
nime2025_75,github.com/moewe-audio/NEMO-acoustic-digital-hybrid-instrument,last,appendix
nime2025_81,github.com/CSCPadova/MTR-template,6,body;reference
nime2025_84,github.com/mitmedialab/ai-harmonizer-nime2025,1,footnote
nime2025_90,github.com/ccrma/chump,3,footnote
nime2025_93,github.com/matthewcaren/tiny-harmonizer,last,footnote
nime2025_60,gitea.offig.com/lfsadmin/Cicadas,2,body (missing)
nime2025_79,red-x-silver.github.io/the-drum-machine-of-tao/,1,footnote (missing)
nime2025_74,github.com/mitmedialab/mindcube- rave,3,footnote (missing)
nime2025_91,github.com/ijc8/glitchgate,1,footnote (missing)
nime2025_92,github.com/ccrma/smuck,,missing
nime2025_7,github.com/gguueesstt/pattern-organ,,body
nime2026_31,github.com/nemus-project/fair-nime-2026,appendix
nime2026_159,codeberg.org/Anonymus_Submission/Performing_Sequences.git,,footnote
